id	entry	ipa	pos	definition	example_sent	scientific_name	wiki_link	pic_link	comment	audio	created_at	marked
801	awudo	awudːʌ	LEX	apertar							13/04/2026	
802	awudu	awudːɯ	LEX	fragilidade, resto, migalhas, sobra							13/04/2026	
803	awudureboe	awuduɾeboe	LEX	substância frágil, quebradiça; resto, migalhas, sobra							13/04/2026	
804	awudurewu	awuduˈɾew	LEX	o frágil							13/04/2026	
805	awuru	awuɾu	LEX	cápsula fechada de urucu							13/04/2026	
806	awururewu ika	awuɾuɾew ika	LEX	urucuzeiro		Bixa orellana	https://pt.wikipedia.org/wiki/Urucum	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Urucuzeiro_-_Bixa_orellana_-_arvoreta.jpg/2560px-Urucuzeiro_-_Bixa_orellana_-_arvoreta.jpg			13/04/2026	
807	ba ekurewu	ba ekuɾew	S	gema de ovo				https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Raw_egg.jpg/500px-Raw_egg.jpg			13/04/2026	
808	ba enogu	ba enogu	LEX	ovo de peixe, clara de ovo							13/04/2026	
809	ba kigadurewu	ba kigaduɾew	S	clara de ovo							13/04/2026	
810	baa (ba)	baa	LEX	aldeia							13/04/2026	
811	baa aregodu	baa aɾegodːɯ	LEX	madrugada, crepúsculo matutino, aurora (chegada da aldeia, aldeia que aparece)							13/04/2026	
812	baa kurirewu	baa kuɾiɾew	S	cidade (aldeia grande)							13/04/2026	
813	baado	baadːʌ	VC	fazer uma aldeia, acampar							13/04/2026	
814	baadoda	baadodːa	LEX	lugar onde foi feita uma aldeia ou um acampamento							13/04/2026	
815	baadodu 1	baaˈdːodːɯ	LEX	aldeia construída, acampado; discurso noturno realizado no bororo							13/04/2026	
816	baarodu (boe arodu)	baaɾˈodːɯ	LEX	coisa ruim, mau augúrio, visão ruim							13/04/2026	
817	babiri	babiɾi	LEX	casca de ovo, saco escrotal							13/04/2026	
818	babuturogu	babɯtɯˈɾogu	LEX	aldeinha							13/04/2026	
819	bace	batʃːe	LEX	nome genérico de garça		fam. Ardeidae	https://pt.wikipedia.org/wiki/Ardeidae	https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Heron2.jpg/960px-Heron2.jpg			13/04/2026	
820	bacieje	batʃiedʒːe	LEX	veado catingueiro		Mazama gouazoubira	https://pt.wikipedia.org/wiki/Veado-catingueiro	https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Brocket_deer_Mazama_gouazoubira_Santa_fe_do_Sul_1.jpg/960px-Brocket_deer_Mazama_gouazoubira_Santa_fe_do_Sul_1.jpg			13/04/2026	
821	bado 2	badːʌ	LEX	impor o estojo peniano							13/04/2026	
822	bado1	badːʌ	LEX	estender; acampar, pousar, montar acampamento							13/04/2026	
823	badoda	badodːa	LEX	lugar onde se realiza a cerimônia da imposição do estojo peniano							13/04/2026	
824	badodu	baˈdːodːɯ	LEX	estojo peniano imposto							13/04/2026	
825	badodurewu	baˈdːodːɯˈɾew	S	que já recebeu o estojo peniano, iniciado							13/04/2026	
826	baeku	baeku	LEX	localidade aprazível, aldeia bonita							13/04/2026	
827	baera	baeɾa	LEX	tipo de borboleta							13/04/2026	
828	baera (baerarewu)	baeɾa	LEX	estojo peniano festivo							13/04/2026	
829	bagoda	bagodːa	LEX	tapera, aldeia abandonada							13/04/2026	
830	bai (baigodu)	bai	LEX	abrir buraco na terra, cavar							13/04/2026	
831	bai (pl. bae)	bai	S	urubu-rei		Sarcoramphus papa	https://pt.wikipedia.org/wiki/Urubu-rei	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Sarcoramphus_papa_-National_Zoo_-Washington_-USA-8a.jpg/960px-Sarcoramphus_papa_-National_Zoo_-Washington_-USA-8a.jpg			13/04/2026	
832	bai (pl. baidoge)	bai	LEX	casa, folha de qualquer palmeira							13/04/2026	
833	bai maridogwarewu	bai maɾidogwaɾew	S	casa de telha							13/04/2026	
834	bai oia kajejewu	bai oia kadʒedʒewu	LEX	cumieira							13/04/2026	
835	bai opo	bai opo	LEX	fundo da casa							13/04/2026	
836	bai paru	bai paɾu	LEX	parte inferior da casa							13/04/2026	
837	bai tororewu	bai toɾoɾew	S	urubu rei branco		Sarcoramphus papa	https://pt.wikipedia.org/wiki/Urubu-rei	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Sarcoramphus_papa_-National_Zoo_-Washington_-USA-8a.jpg/960px-Sarcoramphus_papa_-National_Zoo_-Washington_-USA-8a.jpg			13/04/2026	
838	baia	baia	LEX	centro							13/04/2026	
839	baiado (ba oiado)	baiado	LEX	centro da aldeia, meio do pátio							13/04/2026	
840	baibai	baibai	ADV	movimento ao redor de si mesmo, movimento em zigzag							13/04/2026	
841	baibairewudo	baibaiɾewdːʌ	VC	fazer girar sobre si mesmo							13/04/2026	
842	baicorewu	baitʃoˈɾew	S	cadeia							13/04/2026	
843	baido	baidːʌ	VC	fazer cavar							13/04/2026	
844	baidodu	baiˈdːodːɯ	PPASS	cavado							13/04/2026	
845	baidodurewu	baiˈdːodːɯˈɾew	PPASS	o que é cavado							13/04/2026	
846	baiga (boeiga)	baiga	LEX	arco							13/04/2026	
847	baiga akorewu	baiga	S	qualquer arma de fogo							13/04/2026	
848	baiga atu (baigatu)	baiga	LEX	bala, munição, pólvora							13/04/2026	
849	baiga atu urugudu	baiga	LEX	pólvora							13/04/2026	
850	baiga butu	baiga	LEX	disparo de uma arma de fogo; estrondo produzido por uma bomba							13/04/2026	
851	baiga kobore	baiga koboɾe		arma de fogo esta quebrado							13/04/2026	true
852	baigabe	baigabe	LEX	cágado (tartaruga do rio							13/04/2026	
853	baigabe (boigabe)	baigabe	LEX	raio							13/04/2026	
854	baigare (boeiga are)	baigaɾe	LEX	indivíduo valente, indivíduo corajoso, soldado							13/04/2026	
855	baigo	baigo	VC	fazer cavar, fazer abrir cova							13/04/2026	
856	baigodu	baiˈgodːɯ	LEX	cavar, abrir cova							13/04/2026	
857	baikajejewu	baikadʒedʒewu	LEX	viga							13/04/2026	
858	baiporo epa	baipoɾo epa	S	porta feita de trançado palha. Ver baiporo kejewu							13/04/2026	true
859	baiporo kejewu	baipoɾo kedʒewu	S	porta feita de trançado palha. Ver baiporo epa; chave							13/04/2026	
860	baiporo kejewu (ou simplesmente baiporo)	baipoɾo kedʒewu	S	porta							13/04/2026	
861	baipororogu	baipoɾoˈɾogu	LEX	janela, porta pequena							13/04/2026	
862	baka	baka	S	pênis							13/04/2026	
863	bakaigo kurirewu	bakaigo kuɾiɾew	S	aranha caranguejeira		Família: Theraphosidae	https://pt.wikipedia.org/wiki/Tarântula	https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Brachypelma_Albopilosum_L5-6.jpg/500px-Brachypelma_Albopilosum_L5-6.jpg			13/04/2026	
864	bakaigo tugigarewu	bakaigo tugigaɾew	S	teia de aranha							13/04/2026	
865	bakaigu (bakaigo)	bakaigu	LEX	aranha							13/04/2026	
866	bakaru	bakaɾu	LEX	lenda, conto, história, mito							13/04/2026	
867	bakaru epa	bakaɾu epa	LEX	narrador de história							13/04/2026	
868	bakaru pemegarewu	bakaɾu pemegaɾew	S	boa notícia, evangelho							13/04/2026	
869	bakawu (bakowu)	bakawu	LEX	margem oposta de um rio							13/04/2026	
870	bakedu (pl. bake)	bakedu	LEX	afilhado, sobrinho, primo, cunhado, genro; denominação de várias relações de parentesco							13/04/2026	
871	bakedu pega	bakedu pega	LEX	designação de várias relações de parentesco, neto							13/04/2026	
872	bakenaguru	bakenaguɾu	LEX	clara de ovo							13/04/2026	
873	bakenaguru ekurewu	bakenaguɾu ekuɾew	S	gema de ovo							13/04/2026	
874	bakeru	bakeɾu	LEX	glande do pênis							13/04/2026	
875	bakeru ki	bakeɾu ki	LEX	clitóris			https://pt.wikipedia.org/wiki/Clítoris	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Clitoris_Anatomy.svg/langpt-960px-Clitoris_Anatomy.svg.png			13/04/2026	
876	bako	bako	LEX	banana		"Gênero:	Musa"	https://pt.wikipedia.org/wiki/Banana	https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Bananas_%28Alabama_Extension%29.jpg/960px-Bananas_%28Alabama_Extension%29.jpg			13/04/2026	
877	bako ito	bako ito	LEX	bananeira							13/04/2026	
878	bakora	bakoɾa	LEX	tecido de palmeira para cobrir as paredes das casa							13/04/2026	
879	bakorarewu	bakoɾaˈɾew	S	o polígino							13/04/2026	
880	bakowu (ou bakawu)	bakowu	LEX	além do rio, margem oposta do rio							13/04/2026	
881	baku	baku	LEX	bandeja (trançada de palha); abanico; barbatana de alguns peixes							13/04/2026	
882	bakuguma (pl. bakugumoe)	bakuguma	LEX	gavião-requinta							13/04/2026	
883	bakuje	bakudʒːe	LEX	lugar atrás da aldeia							13/04/2026	
884	bakujebiji	bakudʒebidʒːi	ADV	de trás da aldeia, no mato							13/04/2026	
885	bakujei	bakudʒei	ADV	atrás da aldeia, fora da aldeia, no mato							13/04/2026	
886	bakujukodo	bakudʒukodːʌ	LEX	abanar							13/04/2026	
887	bakure	bakuɾe	LEX	cerco, assédio							13/04/2026	
888	bakuredo	bakuɾedːʌ	LEX	assediar, cercar							13/04/2026	
889	bakuredoda	bakuɾedodːa	LEX	lugar do assédio							13/04/2026	
890	bakuredodu	bakuɾeˈdːodːɯ	PPASS	assediado, cercado, sitiado							13/04/2026	
891	bakuriri	bakuɾiɾi	LEX	vento produzido por abanico; sopro emitido pelo bari ou pelo aroe etawara are							13/04/2026	
892	bakurirido	bakuɾiɾidːʌ	LEX	abanar, ventilar, assoprar dos xamãs das almas e dos espírito							13/04/2026	
893	bakuririgodu	bakuɾiɾiˈgodːɯ	LEX	brisa							13/04/2026	
894	bao	bao	PRCL	partícula interrogativa							13/04/2026	
895	baparu	bapaɾu	LEX	começo da aldeia; oeste da aldeia							13/04/2026	
896	bapera atugo epa	bapeɾa	S	caneta, lápis							13/04/2026	
897	bapera atugodo	bapeɾa	VC	escrever no papel; escrever, pintar, desenhar							13/04/2026	
898	baperewu	bapeˈɾew	S	indivíduo canhoto							13/04/2026	
899	baporogu	bapoˈɾogu	LEX	chocalho menor: só pode ser usado pelos chefes que receberam oficialmente este poder e é destinado a marcar o ritmo de cantos para invocar espíritos ou almas (Aroe Ekeroia)							13/04/2026	
900	baradu	baɾadːɯ	LEX	ninho							13/04/2026	
901	barae eiari	baɾae eiaɾi	LEX	casa de não-indígena					Atualmente é mais usada a expressão barae ewai.		13/04/2026	
902	barae eimejera	baɾae eimedʒeɾa	LEX	chefe de não-indígena							13/04/2026	
903	barae etaiadada	baɾae etaiadada	LEX	meio dia		meio dia	https://pt.wikipedia.org/wiki/Meio-dia		Lit. sol em cima da coroa dos brancos		13/04/2026	
904	baraedu (pl. barae)	bɾaedːɯ	S	não-indígena							13/04/2026	
905	baraeredo (pl. baraereme)	baɾaeɾedo	LEX	mulher não-indígena							13/04/2026	
906	baragado (pl. baragade)	baɾagado	LEX	designação genérica das borboletas de asas listrada							13/04/2026	
907	baragatao	baɾagatao	LEX	jacutinga É denominada também parigogo cerewu							13/04/2026	
908	baragiri	baɾaˈgiɾi	LEX	vassourinha, arbusto do cerrado							13/04/2026	
909	bararedo	baɾaɾedːʌ	LEX	suspender, pendurar, amparar, ajudar	itaidure awo akera bararedo ii ! -- Eu quero que você me ajude (lit. que você pendure sua mão para mim)						13/04/2026	
910	bararodu	baɾaɾodːɯ	LEX	maciez, grossura, gordura							13/04/2026	
911	bararodudo	baɾaɾodːudːʌ	VC	amaciar, engrossar, engordar							13/04/2026	
912	bararodurewu	baɾaɾoduˈɾew	PPASS	o que foi amaciado, engrossado, engordado							13/04/2026	
913	bararu	baɾaɾu	LEX	gordura, engordar, gordo							13/04/2026	
914	bararudo	baɾaɾudːʌ	VC	fazer engordar							13/04/2026	
915	bararurewu	baɾaɾuˈɾew	S	gordo							13/04/2026	
916	baredu	baɾedːɯ	LEX	inchação, inflamação							13/04/2026	
917	baredudo	baɾedːudːʌ	VC	fazer inchar, fazer inflamar							13/04/2026	
918	baredurewu	baɾeduˈɾew	S	o inchado, inflamado, engordado							13/04/2026	
919	bari 1	ˈbaɾi	LEX	xamã dos espíritos; pulmão; nome de uma cabacinha-apito (powari) Pl baire, fem barigo							13/04/2026	
920	bari 2	baɾi	LEX	grandeza, largura							13/04/2026	
921	bari aredu (ou barigo)	baɾi aɾedu	LEX	mulher xamã							13/04/2026	
922	baria	baɾia	LEX	fruta de copaíba							13/04/2026	
923	barido	baɾidːʌ	LEX	abrir, escancarar, alargar, aliviar, enfraquecer							13/04/2026	
924	baridodurewu	baɾiˈdːodːɯˈɾew	PPASS	o aberto, o alargado							13/04/2026	
925	bariga	baɾiga	LEX	pedra sílex, lasca de pedra sí							13/04/2026	
926	barigo	baɾigo	LEX	esposa do Bari (xamã dos espíritos)					Assiste o marido na oferta dos alimentos ao Bope.		13/04/2026	
927	barigodu 2	baɾiˈgodːɯ	LEX	leveza, fraqueza, largura maciez, apatia; ser leve, insípido, sem gosto, sem tempero, ralo							13/04/2026	
928	barigodudo	baɾigodːudːʌ	LEX	tornar leve, aliviar, enfraquecer, alargar, tornar apático, tornar insípido, tornar sem graça							13/04/2026	
929	barigogo	baɾigogo	LEX	chochice, qualidade do que é oco, fofo, leve, froucho; secura							13/04/2026	
930	barigogodo	baɾigoˈgodːʌ	LEX	afofar, aliviar							13/04/2026	
931	barigogorewu	baɾigogoˈɾew	S	fofo, leve, chocho							13/04/2026	
932	barigudurewu	baɾigudːɯˈɾew	PPASS	o afastado largado deixado							13/04/2026	
933	barika	baɾika	ADV	muito, demais							13/04/2026	
934	baripo	baɾipo	ADV	melhor, um pouco melhor							13/04/2026	
935	barirewu	baɾiˈɾew	S	o que é leve, largo							13/04/2026	
936	barodudo	baɾodːudːʌ	VC	fazer flutuar, fazer inchar							13/04/2026	
937	barodugodu	baɾoduˈgodːɯ	LEX	coisa extraordinária, fantástica, ruim, de mau augúrio							13/04/2026	
938	barodurewu	baɾoduˈɾew	S	flutuante							13/04/2026	
939	barogo (pl. barege)	baɾogo	LEX	mamíferos, animais							13/04/2026	
940	barogo peguru	baɾogo peguɾu	LEX	lumbriga, verme							13/04/2026	
941	barogwa	baɾogwa	LEX	aurora, madrugada, manhã							13/04/2026	
942	barogwa kododu	baɾogwa kododu	LEX	amanhecer							13/04/2026	
943	baru aiadoda	baɾu aiadoda	LEX	zenite, centro da esfera celeste , meio dia							13/04/2026	
944	baru kejeboe	baɾu kedʒeboe	LEX	coisas que estão no céu (ex.: espíritos, astros)							13/04/2026	
945	baru kigadu	baɾu kigadu	LEX	nuvem branca céu branco							13/04/2026	
946	baru oia	baɾu oia	LEX	zênite, ponto mais alto do céu							13/04/2026	
947	baru okwa	baɾu okwa	LEX	borda do céu: horizonte							13/04/2026	
948	baru reai	baɾu ɾeai	POSP	retaguarda; o que vai de último numa viagem ou marcha							13/04/2026	
949	barudu	baɾudːɯ	LEX	mudança, mudar							13/04/2026	
950	barududo	baɾudːudːʌ	LEX	mudar, fazer mudar							13/04/2026	
951	barugodu	baɾuˈgodːɯ	LEX	fuga de um perigo							13/04/2026	
952	barugwa	baɾugwa	LEX	clareira							13/04/2026	
953	barumeru	baɾumeɾu	LEX	mudança, viagem							13/04/2026	
954	barumerudo	baɾumeɾudːʌ	LEX	fazer viajar, fazer mudar							13/04/2026	
955	batadurewu	bataduˈɾew	PPASS	castrado							13/04/2026	
956	batarao	bataɾao	LEX	mentira, calúnia							13/04/2026	
957	bataraodu	bataɾaodːɯ	LEX	enganar							13/04/2026	
958	bataraodu (bataraodo?)	bataɾaodu	LEX	mentir, caluniar, aumentar							13/04/2026	
959	batararodae	bataɾaɾodae	LEX	mentira							13/04/2026	
960	batararodu	bataɾaɾodːɯ	LEX	mentira, calúnia; mentir, caluniar	ure tumana bataraodu tuo ji = ele mentiu para o seu pai						13/04/2026	
961	batararodurewu	bataɾaɾoduˈɾew	S	mentiroso, caluniador							13/04/2026	
962	bataru adaro	bataɾu adaɾo	LEX	gagueira							13/04/2026	
963	bataru adarodo	bataɾu adaɾodo	VC	fazer gaguejar							13/04/2026	
964	bataru aogado	bataɾu aogado	VC	faltar á palavra, desdizer							13/04/2026	
965	bataru aogadodu	bataɾu aogadodu	VC	faltar á palavra							13/04/2026	
966	bataru bokwarewu	bataɾu bokwaɾew	S	mudo, tímido, que fala mal							13/04/2026	
967	bataru iwado	bataɾu iwado	VC	ensinar a falar							13/04/2026	
968	bataru jetararewu	bataɾu dʒetaɾaɾew	S	que fala uma e outra língua							13/04/2026	
969	bataru okeadae	bataɾu okeadae	LEX	zombaria, caçoada, piada							13/04/2026	
970	bataru okeadu	bataɾu okeadu	LEX	piada, caçoada							13/04/2026	
971	bataru okeadurewu	bataɾu okeaduɾew	S	brincalhão, zombador							13/04/2026	
972	bataru okwari	bataɾu okwaɾi	LEX	gritos rituais, pedidos em grito							13/04/2026	
973	bataru okwarido	bataɾu okwaɾido	VC	pedir aos gritos a oração do bari (xamã dos espíritos)	boe co paru tabo bari umode bataru okwarido kie ji = ao escurecer, o xamã dos espíritos vai oferecer anta						13/04/2026	
974	bataru pega	bataɾu pega	LEX	maledicência, conversa ininteligível, murmuração							13/04/2026	
975	bataru pegado	bataɾu pegado	VC	murmurar, conversar errado, maldizer							13/04/2026	
976	bataru pogodu	bataɾu pogodu	LEX	gagueira, balbúcio							13/04/2026	
977	bataru pogodudo	bataɾu pogodːodːɯ	VC	atrapalhar a fala de alguém							13/04/2026	
978	bataru pogodurewu	bataɾu pogoduɾew	S	gago, o que balbucia							13/04/2026	
979	bataru riki bokwa	bataɾu ɾiki bokwa	LEX	que não diz a verdade, falso							13/04/2026	
980	batarudo	bataɾudːʌ	VC	fazer falar, ensinar a falar	are iwadarudo = você vai me fazer falar						13/04/2026	
981	batarudu	bataɾudːɯ	LEX	oração, discurso							13/04/2026	
982	batarudugo	bataɾudugo	VC	fazer falar irado							13/04/2026	
983	bataruduia	bataɾuduia	LEX	orador, o que sabe falar							13/04/2026	
984	batarugodu	bataɾuˈgodːɯ	V	falar irado, começar a falar							13/04/2026	
985	batarugodurewu	bataɾugoduˈɾew	PRCL	o que fala irado							13/04/2026	
986	bataruia	bataɾuia	LEX	engano, mentira							13/04/2026	
987	bato	bato	LEX	mangaba		Hancornia speciosa	https://pt.wikipedia.org/wiki/Mangaba	https://upload.wikimedia.org/wikipedia/commons/1/10/Picked_mangaba_fruit.png			13/04/2026	
988	bato i	bato i	LEX	mangabeira				https://upload.wikimedia.org/wikipedia/commons/8/81/Mangabeira.png			13/04/2026	
989	bato kuru	bato kuɾu	LEX	látex de mangabeira, borracha, qualquer objeto de borracha							13/04/2026	
990	batodu	batodːɯ	LEX	discurso, proclamação, anúncio; proclamar, fazer discurso, anunciar							13/04/2026	
991	batodu	batodːɯ	LEX	exploração							13/04/2026	
992	bawadu (boe awadu)	bawadu	LEX	lugar abaerto, relento							13/04/2026	
993	beari	beaɾi	LEX	vômito							13/04/2026	
994	bearido	beaɾidːʌ	LEX	fazer vomitar							13/04/2026	
995	bearigodu	beaɾiˈgodːɯ	LEX	vontade de vomitar, estar para vomitar, começar a vomitar							13/04/2026	
996	begabega	begabega	ADV	mais ou menos							13/04/2026	
997	begobego	begobego	LEX	úmido							13/04/2026	
998	beguco	begutʃːo	LEX	começar a amadurecer							13/04/2026	
999	begucodo	begutʃodːʌ	VC	fazer amadurecer							13/04/2026	
1000	begucogodu	begutʃoˈgodːɯ	LEX	maduração completa de fruta							13/04/2026	
1001	begucorewu	begutʃoˈɾew	S	maduro							13/04/2026	
1002	bekuru	bekuɾu	LEX	qualquer substância líquida ou semilíquida com propriedades aglutinantes: cola, goma; caldo espesso							13/04/2026	
1003	bekurudo	bekuɾudːʌ	VC	colar, grudar							13/04/2026	
1004	bekurureboe	bekuɾuɾeboe	LEX	qualquer substância pegajosa; carrapicho							13/04/2026	
1005	bekururewu	bekuɾuˈɾew	S	aquilo que é aglutinante, aquilo que adere							13/04/2026	
1006	beo	beo	LEX	seriema		Cariama cristata	https://pt.wikipedia.org/wiki/Seriema	https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Cariama_cristata_-near_Goiania%2C_Goias%2C_Brazil-8.jpg/500px-Cariama_cristata_-near_Goiania%2C_Goias%2C_Brazil-8.jpg			13/04/2026	
1007	beraga	beɾaga	LEX	ruindade, inferioridade							13/04/2026	
1008	beragadu	beɾagadːɯ	LEX	inferioridade, coisa barata, de pouco valor, má qualidade							13/04/2026	
1009	beragadurewu	beɾagaduˈɾew	S	ruim, de pouco valor, de qualidade inferior							13/04/2026	
1010	beragarewu	beɾagaˈɾew	S	aquilo que é de pouco valor, ruim, de qualidade inferior							13/04/2026	
1011	beragu	beɾagu	LEX	resina (de árvore)	Emerure apo beragu bogai = andaram com ele atrás de resina						13/04/2026	
1012	beragu i	beɾagu i	S	pau-santo gênero Kielmeyera árvore do cerrado que produz ótima resina		gênero Kielmeyera	https://pt.wikipedia.org/wiki/Kielmeyera	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Kielmeyera_speciosa.jpg/500px-Kielmeyera_speciosa.jpg	Árvore do cerrado que produz ótima resina. As árvores desse gênero têm propriedades medicinais.		13/04/2026	
1013	bere	beɾe	LEX	ebulição, fervura							13/04/2026	
1014	beredo	beɾedːʌ	VC	ferver							13/04/2026	
1015	beredoda	beɾedodːa	LEX	lugar onde se ferve algo							13/04/2026	
1016	beredodurewu	beɾeˈdːodːɯˈɾew	PPASS	o que foi fervido							13/04/2026	
1017	beredu	beɾedːɯ	LEX	calor, rosto avermelhado pelo calor							13/04/2026	
1018	beregadu	beɾegadːɯ	LEX	mole, desanimado							13/04/2026	
1019	beregadudo	beɾegadːudːʌ	LEX	ficar mole, desanimar							13/04/2026	
1020	berego	beɾego	VC	fazer ferver							13/04/2026	
1021	beregodu	beɾeˈgodːɯ	LEX	início de fervura	I panera beregodure = minha panela começou a ferver						13/04/2026	true
1022	beregodudo	beɾegodːudːʌ	VC	fazer ferver							13/04/2026	
1023	beregodugodu	beɾegoduˈgodːɯ	LEX	estar para ferver							13/04/2026	
1024	berereboe	beɾeɾeboe	LEX	sopa							13/04/2026	
1025	beriberi (periperi)	beɾibeɾi	LEX	pinta							13/04/2026	
1026	beriberirewu	beɾibeɾiˈɾew	LEX	pintado de várias cores							13/04/2026	
1027	betaga 1	betaga	LEX	barbatimão		Gênero Stryphnodendron	https://pt.wikipedia.org/wiki/Stryphnodendron	https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Árvore_de_Barbatimão.JPG/960px-Árvore_de_Barbatimão.JPG			13/04/2026	
1028	betaga 2	betaga	LEX	variedade de centopéia, lacraia		"Família:	Scolopendridae"	https://pt.wikipedia.org/wiki/Scolopendridae	https://upload.wikimedia.org/wikipedia/commons/1/15/Scolopendra_polymorpha_1.jpg			13/04/2026	
1029	betaga ikodorewu	betaga ikodoɾew	S	centopéia alada: lou   LEXdeus, cobra de asa							13/04/2026	
1030	betaga ojakuri	betaga odʒakuɾi	LEX	escorpião (espécie)							13/04/2026	
1031	betaga uiorubo	betaga uioɾubo	LEX	planta dormideira, usada como remédio para suavizar distensões musculare							13/04/2026	
1032	beto	beto	LEX	esteira bororo							13/04/2026	
1033	beto atugorewu	beto atugoɾew	S	esteira feita de broto de buriti, com desenho							13/04/2026	
1034	beto jarewu	beto dʒaɾew	S	esteira feita de palha de buriti em forma de saco para dormir							13/04/2026	
1035	betoreboe	betoɾeboe	LEX	acúcar, substância doce							13/04/2026	
1036	betorewu	betoˈɾew	S	variedade de samambaia							13/04/2026	
1037	betu	betu	LEX	doçura, qualidade do que é doce							13/04/2026	
1038	betudo	betudːʌ	LEX	adoçar							13/04/2026	
1039	betureboe	betuɾeboe	LEX	doce, alimento doce, coisa doce							13/04/2026	
1040	beturewu	betuˈɾew	S	doce, o que é doce							13/04/2026	
1041	bi bokwarewu	bi bokwaɾew	S	o que não está morto, o que custa morrer							13/04/2026	
1042	bia	bia	LEX	orelha, dificuldade, ocultação							13/04/2026	
1043	bia butu (biabutu)	bia butu	LEX	lembrança, recordação; lembrar, recordar							13/04/2026	
1044	bia jetudo	bia dʒetudo	VC	fazer lembrar							13/04/2026	
1045	bia jeturewu	bia dʒetuɾew	S	o que lembra	iwia buture ia bakaru keje = lembrei de um bakaru ( história)						13/04/2026	
1046	biaboro	biaboɾo	LEX	furo aberto no lóbulo da orelha							13/04/2026	
1047	biaboro tadawu	biaboɾo tadawu	LEX	brinco							13/04/2026	
1048	biadawu (Boe ewiadawu)	biadawu	LEX	brinco							13/04/2026	
1049	biado	biadːʌ	LEX	esconder, ocultar, tornar difícil							13/04/2026	
1050	biadodurewu	biaˈdːodːɯˈɾew	PPASS	escondido, oculto, difícil							13/04/2026	
1051	biaga (biega)	biaga	LEX	pequenez, redução, diminuição							13/04/2026	
1052	biagado	biagadːʌ	LEX	diminuir, reduzir, tornar pequeno							13/04/2026	
1053	biagadodurewu	biagaˈdːodːɯˈɾew	PPASS	o reduzido, o diminuído							13/04/2026	
1054	biagai (biegai)	biagai	POSP	ao ouvido de, para (alguém que escuta							13/04/2026	
1055	biagarewu (biegarewu)	biagaɾew	LEX	pequeno, reduzido							13/04/2026	
1056	biagiri	biaˈgiɾi	LEX	grande dificuldade	biagirikare = não é difícil						13/04/2026	
1057	biagirido	biagiɾidːʌ	LEX	tornar muito difícil, esconder bem							13/04/2026	
1058	biagodudo	biagodːudːʌ	VC	fazer esquecer							13/04/2026	
1059	biagodurewu	biagoduˈɾew	S	o que esquece							13/04/2026	
1060	biagogodo	biagoˈgodːʌ	LEX	esmagar							13/04/2026	
1061	biaja bokwado	biadʒːa	VC	tornar surdo, ensurdecer							13/04/2026	
1062	biaja bokwarewu	biadʒːa	S	surdo, teimoso							13/04/2026	
1063	biaku (boe aku)	biaku	LEX	frio, tempo frio							13/04/2026	
1064	biaku rirewu	biaku ɾiɾew	S	gelo							13/04/2026	
1065	biakuru	biakuɾu	LEX	lembrar	iwiakurure = eu lembrei						13/04/2026	
1066	biaporo	biapoɾo	LEX	furo do lóbulo da orelha							13/04/2026	
1067	biarewu	biaˈɾew	S	difícil, oculto							13/04/2026	
1068	biarewudo	biaɾewdːʌ	LEX	dificultar							13/04/2026	
1069	biarudo	biaɾudːʌ	LEX	silenciar, fazer com cautela, fazer com prudência, fazer com atenção							13/04/2026	
1070	biarurewu	biaɾuˈɾew	S	cauteloso, quieto, solitário, sem barulho, meio escondido							13/04/2026	
1071	biaruru	biaɾuɾu	LEX	rumor, barulho no ouvido							13/04/2026	
1072	biatugu	biatugu	LEX	distração, concentração							13/04/2026	
1073	biatugududo	biatugudːudːʌ	LEX	distrair, concentrar							13/04/2026	
1074	biatugudurewu	biatugudːɯˈɾew	LEX	distraído, concentrado							13/04/2026	
1075	bibi	ˈbibi	LEX	peito de mãe							13/04/2026	
1076	bibí	biˈbi	LEX	morte, secura extrema							13/04/2026	
1077	bie i	bie i	LEX	jenipapeiro							13/04/2026	
1078	bie tudu	bie tudu	LEX	tinta do jenipapo							13/04/2026	
1079	biegarewu (biagarewu)	biegaɾew	LEX	pequeno							13/04/2026	
1080	bigodudo	bigodːudːʌ	LEX	adelgaçar, afinar, alongar							13/04/2026	
1081	bigodurewu	bigoduˈɾew	S	esguio, fino, comprido e delgado							13/04/2026	
1082	bija	bidʒːa	LEX	grito, gritar							13/04/2026	
1083	bijado	bidʒadːʌ	VC	fazer gritar							13/04/2026	
